,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
158,Kevin Willis,38,DEN,C,43,13,24.6,4.2,9.8,.428,0.0,0.1,.250,4.2,9.7,.429,.429,1.2,1.5,.788,2.5,4.7,7.2,0.7,0.9,0.7,1.1,3.2,9.6
159,Chauncey Billups,24,MIN,SG,77,33,23.2,3.2,7.6,.422,0.9,2.5,.376,2.3,5.1,.445,.485,1.9,2.2,.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3
160,Morris Peterson,23,TOR,SG,80,49,22.6,3.6,8.4,.431,0.8,2.1,.382,2.8,6.4,.447,.478,1.3,1.8,.717,1.4,1.8,3.2,1.3,0.8,0.3,1.0,2.1,9.3
161,John Starks,35,UTA,SG,75,64,28.3,3.6,9.1,.398,0.9,2.4,.352,2.8,6.7,.415,.445,1.2,1.5,.802,0.4,1.7,2.1,2.4,1.0,0.1,1.3,2.9,9.3
162,Rod Strickland,34,2TM,PG,54,28,25.4,3.4,7.9,.424,0.1,0.3,.235,3.3,7.6,.432,.429,2.4,3.2,.751,0.7,1.9,2.6,5.6,1.0,0.1,2.0,1.4,9.2
163,Rod Strickland,34,WAS,PG,33,28,30.9,4.3,10.0,.426,0.1,0.5,.250,4.2,9.5,.435,.432,3.5,4.5,.782,0.8,2.4,3.2,7.0,1.3,0.1,2.5,1.7,12.2
164,Rod Strickland,34,POR,PG,21,0,16.7,2.0,4.7,.418,0.0,0.0,.000,2.0,4.6,.423,.418,0.7,1.2,.577,0.5,1.1,1.7,3.4,0.5,0.0,1.1,1.0,4.6
165,Kendall Gill,32,NJN,SG,31,26,28.8,3.5,10.4,.331,0.1,0.5,.286,3.3,10.0,.333,.337,2.1,2.9,.722,1.0,3.2,4.2,2.8,1.5,0.2,1.5,2.1,9.1
166,Fred Hoiberg,28,CHI,SG,74,37,30.4,2.9,6.7,.438,1.4,3.4,.412,1.5,3.3,.465,.542,1.8,2.1,.866,0.3,3.9,4.2,3.6,1.3,0.2,1.0,2.1,9.1
167,Othella Harrington,27,2TM,C,74,45,24.5,3.3,6.9,.487,0.0,0.0,.000,3.3,6.8,.490,.487,2.3,3.0,.763,1.9,3.4,5.2,0.8,0.5,0.6,2.0,3.2,9.0
168,Othella Harrington,27,VAN,C,44,40,28.8,4.1,8.8,.466,0.0,0.1,.000,4.1,8.7,.470,.466,2.7,3.5,.779,2.3,4.3,6.6,0.8,0.4,0.6,2.4,3.1,10.9
169,Othella Harrington,27,NYK,C,30,5,18.3,2.2,4.0,.554,0.0,0.0,,2.2,4.0,.554,.554,1.7,2.3,.729,1.2,2.1,3.3,0.7,0.5,0.6,1.4,3.4,6.2
170,Howard Eisley,28,DAL,SG,82,40,29.6,3.2,8.2,.393,1.3,3.3,.398,1.9,5.0,.389,.472,1.3,1.5,.825,0.3,2.1,2.4,3.6,1.2,0.1,1.2,2.7,9.0
171,Brad Miller,24,CHI,C,57,45,25.2,2.9,6.8,.435,0.0,0.1,.200,2.9,6.7,.438,.437,2.9,4.0,.743,2.5,4.8,7.4,1.9,0.6,0.7,1.3,3.1,8.9
172,Brent Barry,29,SEA,SG,67,20,26.5,3.0,6.0,.494,1.6,3.4,.476,1.3,2.6,.517,.630,1.3,1.5,.816,0.5,2.7,3.1,3.4,1.2,0.2,1.3,1.9,8.8
